year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
2014,Kia,Optima,LX,Sedan,automatic,5xxgm4a72eg327205,tx,43.0,16681.0,silver,gray,kia motors america  inc,15150.0,15800.0,Wed Feb 25 2015 02:30:00 GMT-0800 (PST)
2014,Nissan,Altima,2.5 S,Sedan,,1n4al3ap1en243793,pa,36.0,16305.0,black,black,nissan-infiniti lt,14150.0,12800.0,Fri May 29 2015 02:00:00 GMT-0700 (PDT)
2008,Hyundai,Veracruz,Limited,SUV,automatic,km8nu73c18u073967,pa,46.0,59997.0,white,beige,tdaf remarketing,12650.0,13000.0,Tue Jan 27 2015 01:30:00 GMT-0800 (PST)
2014,Ford,Focus,SE,Sedan,automatic,1fadp3f2xel211953,il,35.0,25651.0,gray,black,udrive chicago inc,12000.0,11650.0,Thu Mar 05 2015 02:00:00 GMT-0800 (PST)
2012,Ford,Fusion,Hybrid,Sedan,automatic,3fadp0l37cr276656,nj,28.0,33943.0,—,gray,ari,13950.0,13500.0,Wed Jan 28 2015 02:00:00 GMT-0800 (PST)
1992,Mazda,MX-5 Miata,Base,Convertible,manual,jm1na3511n0326824,ca,1.0,159039.0,red,red,purple heart services inc,1075.0,1600.0,Wed Jan 14 2015 05:30:00 GMT-0800 (PST)
2014,Mercedes-Benz,GLK-Class,GLK350 4MATIC,SUV,automatic,wdcgg8jb1eg264619,ca,33.0,13162.0,—,black,mercedes-benz finc wholesale advantage,35700.0,24500.0,Wed May 27 2015 05:30:00 GMT-0700 (PDT)
2012,Ford,Fusion,SE,Sedan,automatic,3fahp0hgxcr341030,ga,45.0,66363.0,white,gray,terry cullen southlake chev inc,9325.0,10800.0,Tue Jan 27 2015 05:00:00 GMT-0800 (PST)
2013,Nissan,Pathfinder,SV,suv,,5n1ar2mm5dc669951,nc,34.0,56186.0,white,black,t & k enterprises of mt airy inc,17250.0,20200.0,Tue Jun 16 2015 03:00:00 GMT-0700 (PDT)
2013,Chrysler,200,Touring,Sedan,automatic,1c3ccbbb9dn674658,ga,42.0,69630.0,gray,tan,santander consumer,9050.0,9500.0,Tue Feb 03 2015 01:30:00 GMT-0800 (PST)
2007,Chevrolet,Tahoe,LT,suv,automatic,1gnfc130x7r248353,tx,35.0,114145.0,blue,gray,eagle motorsports corporation,14550.0,16000.0,Tue Jun 02 2015 03:30:00 GMT-0700 (PDT)
2006,,,,,automatic,2a4gm68406r831424,il,1.0,168394.0,gray,black,santander consumer,2225.0,800.0,Tue Mar 03 2015 05:00:00 GMT-0800 (PST)
2012,Toyota,Camry,LE,sedan,,4t1bf1fk6cu097509,ga,44.0,21629.0,white,gray,world omni financial corporation,12950.0,13600.0,Thu Jun 11 2015 03:00:00 GMT-0700 (PDT)
2014,Lincoln,MKZ,Base,Sedan,automatic,3ln6l2gk7er818638,il,31.0,28979.0,black,black,avis budget group,23200.0,21700.0,Thu Feb 12 2015 02:00:00 GMT-0800 (PST)
2011,Nissan,Maxima,3.5 SV,Sedan,automatic,1n4aa5ap3bc815200,nj,26.0,37444.0,white,black,nissan-infiniti lt,16600.0,14100.0,Wed Jan 21 2015 01:30:00 GMT-0800 (PST)
2012,Toyota,Camry Hybrid,XLE,Sedan,automatic,4t1bd1fk8cu017830,pa,33.0,62486.0,—,gray,ge fleet services for itself/servicer,15750.0,16000.0,Fri Jan 02 2015 09:00:00 GMT-0800 (PST)
2010,Chevrolet,Impala,LT,Sedan,automatic,2g1wb5en0a1220923,ca,36.0,45503.0,red,gray,bank of america,8475.0,9100.0,Wed Jan 07 2015 12:30:00 GMT-0800 (PST)
2014,Dodge,Charger,SE,Sedan,automatic,2c3cdxbg3eh265233,pa,4.0,19888.0,black,black,hertz corporation/gdp,16250.0,15700.0,Thu Feb 05 2015 01:30:00 GMT-0800 (PST)
2007,Nissan,Murano,SL,SUV,automatic,jn8az08w07w610060,ca,39.0,125145.0,gold,black,apexcars net,6675.0,8500.0,Wed Jan 14 2015 04:30:00 GMT-0800 (PST)
2006,Pontiac,G6,GT,coupe,automatic,1g2zh158x64131236,md,27.0,125939.0,red,beige,college park motor cars inc,3350.0,3600.0,Tue Jun 16 2015 02:30:00 GMT-0700 (PDT)
2013,Honda,CR-V,EX-L,suv,automatic,5j6rm3h76dl003563,ca,35.0,37964.0,white,beige,phillips auto brokerage,21000.0,17500.0,Wed May 27 2015 05:30:00 GMT-0700 (PDT)
2012,Infiniti,G Sedan,G37x,G Sedan,automatic,jn1cv6ar3cm670088,fl,29.0,54797.0,silver,black,tdaf remarketing,17750.0,18400.0,Tue Feb 17 2015 01:00:00 GMT-0800 (PST)
1992,Honda,Accord,EX,Sedan,automatic,1hgcb7672na124360,fl,,167926.0,gold,brown,crown kia,425.0,550.0,Thu Dec 18 2014 16:50:00 GMT-0800 (PST)
2010,Lexus,GS 350,Base,Sedan,automatic,jthbe1ksxa0048412,fl,37.0,57393.0,black,black,lexus financial services,21700.0,21600.0,Tue Dec 30 2014 09:30:00 GMT-0800 (PST)
2010,Mercedes-Benz,GLK-Class,GLK350 4MATIC,SUV,automatic,wdcgg8hb5af311494,tx,42.0,39511.0,black,black,music city autoplex llc,21800.0,23000.0,Wed Jan 21 2015 02:20:00 GMT-0800 (PST)
2012,Audi,A4,2.0T Avant Premium quattro,Wagon,automatic,wauwfaflxca098157,nj,26.0,45849.0,white,tan,vw credit  inc,21200.0,19800.0,Wed Feb 04 2015 01:30:00 GMT-0800 (PST)
2013,Hyundai,Sonata,GLS,sedan,automatic,5npeb4ac4dh706753,fl,38.0,52377.0,blue,gray,jenkins hyundai,10900.0,10700.0,Tue Jun 02 2015 02:30:00 GMT-0700 (PDT)
2011,Ram,2500,SLT,Crew Cab,automatic,3d7ut2cl5bg512920,nv,31.0,58316.0,black,gray,unique autos,28300.0,30000.0,Fri Jan 16 2015 04:00:00 GMT-0800 (PST)
2001,Lexus,LX 470,Base,SUV,automatic,jtjht00w113503189,ca,,208438.0,white,tan,ar motorsport,8875.0,9600.0,Thu Dec 18 2014 13:00:00 GMT-0800 (PST)
2010,Chevrolet,Equinox,LS,SUV,automatic,2cnalbew5a6386598,ca,42.0,77722.0,gray,black,northwestern chrys/j/d/ge,9000.0,11200.0,Wed Feb 04 2015 04:30:00 GMT-0800 (PST)
2012,Toyota,Camry,XLE,Sedan,automatic,4t1bf1fk7cu541898,fl,35.0,23132.0,black,gray,tdaf remarketing,15850.0,15900.0,Tue May 26 2015 02:00:00 GMT-0700 (PDT)
2014,Mercedes-Benz,E-Class,E350 Luxury,Sedan,automatic,wddhf5kb8ea778079,ca,26.0,12819.0,white,—,mercedes-benz finc wholesale advantage,41900.0,36000.0,Thu Jan 29 2015 04:30:00 GMT-0800 (PST)
2012,Hyundai,Sonata,SE,Sedan,automatic,5npec4ac4ch383543,fl,44.0,22044.0,white,black,hyundai motor finance,13450.0,13800.0,Tue Dec 30 2014 09:30:00 GMT-0800 (PST)
2014,Hyundai,Sonata,GLS,Sedan,automatic,5npeb4ac6eh863721,tx,44.0,35786.0,silver,gray,enterprise veh exchange/rental,12550.0,12400.0,Wed Jun 03 2015 03:00:00 GMT-0700 (PDT)
2011,Kia,Soul,!,Wagon,automatic,kndjt2a28b7225199,fl,2.0,83272.0,black,black,onemain rem/minas car group,8050.0,7500.0,Fri Feb 27 2015 02:00:00 GMT-0800 (PST)
2003,Lincoln,Navigator,Ultimate,SUV,automatic,5lmfu27r93lj15545,ca,21.0,125131.0,white,beige,m & n financial,3100.0,3400.0,Thu Mar 05 2015 04:00:00 GMT-0800 (PST)
2012,Ford,Fusion,SE,Sedan,automatic,3fahp0hgxcr253207,nj,44.0,13036.0,white,beige,ford motor credit company llc,13450.0,13400.0,Wed May 27 2015 02:00:00 GMT-0700 (PDT)
2011,Nissan,Altima,2.5 S,Coupe,manual,1n4al2ep8bc114073,fl,24.0,53054.0,black,gray,nissan motor acceptance corporation,10850.0,8100.0,Tue Jan 20 2015 01:30:00 GMT-0800 (PST)
2009,Toyota,Camry,LE,Sedan,automatic,4t1be46k89u880134,ca,34.0,112635.0,white,beige,lease plan usa,7050.0,7500.0,Tue Feb 03 2015 04:00:00 GMT-0800 (PST)
2009,Nissan,Murano,SL,suv,automatic,jn8az18u49w011301,ca,21.0,93251.0,white,beige,m l sim,10200.0,10400.0,Tue Jun 02 2015 05:30:00 GMT-0700 (PDT)
2010,BMW,3 Series,328i,Sedan,automatic,wbaph7g55anm49094,fl,32.0,33247.0,gold,beige,braman motors,15900.0,14400.0,Thu Jan 22 2015 01:30:00 GMT-0800 (PST)
2013,Ford,Escape,SEL,SUV,automatic,1fmcu0hx2dub77727,tn,47.0,20655.0,gray,gray,ford motor credit company,18750.0,16900.0,Thu Feb 05 2015 03:00:00 GMT-0800 (PST)
2006,Volkswagen,Jetta,2.5,Sedan,automatic,3vwrf71k26m630619,ga,19.0,130712.0,silver,black,credit acceptance corp/vrs/southfield,3250.0,2500.0,Tue Feb 17 2015 05:10:00 GMT-0800 (PST)
2005,Ford,F-250 Super Duty,Lariat,SuperCab,,1ftsx20p55eb11537,fl,19.0,153172.0,—,gray,enterprise fleet management exchange  inc.,7425.0,5000.0,Wed Feb 18 2015 01:10:00 GMT-0800 (PST)
2011,Lexus,RX 350,Base,SUV,automatic,2t2zk1ba6bc061676,fl,43.0,43428.0,gray,gray,ambar motors inc,23400.0,26000.0,Tue Jul 07 2015 06:30:00 GMT-0700 (PDT)
2001,Volkswagen,Passat,GLX V6 4Motion,Sedan,automatic,wvwth63b01p196682,il,22.0,120847.0,blue,black,first merit bank,2075.0,1800.0,Thu May 21 2015 03:00:00 GMT-0700 (PDT)
2014,Hyundai,Elantra,SE,Sedan,automatic,5npdh4ae5eh482146,ga,44.0,11586.0,gray,gray,hyundai motor america,12750.0,12800.0,Tue Jun 02 2015 02:30:00 GMT-0700 (PDT)
2013,Hyundai,Sonata,GLS,sedan,automatic,5npeb4ac8dh597245,fl,38.0,14274.0,blue,gray,hyundai motor finance,13000.0,12800.0,Tue Jun 16 2015 02:30:00 GMT-0700 (PDT)
2013,Toyota,Sienna,LE 7-Passenger Mobility Auto Access,Minivan,automatic,5tdkk3dc8ds359642,mo,31.0,62073.0,white,gray,the hertz corporation,16750.0,16800.0,Wed Feb 18 2015 02:00:00 GMT-0800 (PST)
2002,Oldsmobile,Alero,GL1,Sedan,automatic,1g3nl52f42c142042,md,28.0,134092.0,gray,tan,darcars dodge of new carrollton,1125.0,500.0,Tue May 26 2015 02:30:00 GMT-0700 (PDT)
2014,Dodge,Charger,SXT,Sedan,,2c3cdxhg3eh188743,on,48.0,30882.0,white,black,chrysler canada inc,19400.0,18700.0,Tue Feb 03 2015 02:00:00 GMT-0800 (PST)
2009,Ford,F-150,XLT,SuperCab,automatic,1ftpx14v79fa95642,mi,36.0,80466.0,burgundy,tan,automobiles paille inc,15100.0,14800.0,Thu Jan 22 2015 01:30:00 GMT-0800 (PST)
2013,Subaru,Legacy,2.5i Premium,Sedan,automatic,4s3bmcb65d3021706,nc,34.0,79531.0,white,beige,wheels exchange llc,11000.0,11100.0,Tue Jan 13 2015 09:15:00 GMT-0800 (PST)
2006,Chevrolet,Impala,LTZ,sedan,automatic,2g1wu581x69300354,fl,36.0,95608.0,blue,beige,gm financial,5700.0,6500.0,Wed May 27 2015 02:10:00 GMT-0700 (PDT)
2007,Volkswagen,Eos,2.0T,convertible,automatic,wvwfa71f17v002503,tx,37.0,72360.0,blue,beige,meridian remarketing,7925.0,7300.0,Thu Jun 18 2015 03:00:00 GMT-0700 (PDT)
2010,Honda,Civic,LX,Coupe,automatic,2hgfg1b6xah522372,nj,28.0,21428.0,black,gray,ford-lincoln dealer program,8775.0,8000.0,Wed Feb 11 2015 01:00:00 GMT-0800 (PST)
2012,Lexus,ES 350,Base,Sedan,automatic,jthbk1eg8c2496185,ga,41.0,30383.0,black,black,lexus financial services,21900.0,21400.0,Thu Feb 19 2015 02:00:00 GMT-0800 (PST)
2013,Ford,Focus,SE,Sedan,automatic,1fadp3f20dl236021,il,44.0,52724.0,gray,black,chrysler capital,9950.0,9500.0,Tue Jan 20 2015 02:00:00 GMT-0800 (PST)
2013,Ford,C-Max Hybrid,SE,wagon,automatic,1fadp5au2dl534834,mo,47.0,13589.0,,,ford motor credit company llc pd,13600.0,13600.0,Tue Jun 16 2015 03:30:00 GMT-0700 (PDT)
2008,Jeep,Compass,Sport,suv,automatic,1j8ft47w18d644445,nc,37.0,126636.0,blue,gray,michael wayne investments,4450.0,4000.0,Mon Jun 01 2015 02:30:00 GMT-0700 (PDT)
2007,Pontiac,Grand Prix,Base,Sedan,automatic,2g2wp552871196740,oh,19.0,130651.0,black,black,cnac corporate office/columbus,3600.0,1750.0,Tue Mar 03 2015 04:00:00 GMT-0800 (PST)
2007,Ford,F-150,XLT,supercrew,automatic,1ftrw12w07kd41667,ms,19.0,81306.0,black,gray,santander consumer,11350.0,5300.0,Thu Jun 04 2015 03:30:00 GMT-0700 (PDT)
2012,Honda,Civic,LX,Sedan,automatic,19xfb2f55ce087408,il,42.0,28965.0,gray,gray,ahfc/honda lease trust/hvt  inc. eot,11000.0,11700.0,Thu Feb 05 2015 02:00:00 GMT-0800 (PST)
2014,Kia,Cadenza,Limited,Sedan,automatic,knaln4d78e5164407,ca,35.0,7234.0,black,black,kia motors america  inc,25300.0,23300.0,Tue May 19 2015 05:00:00 GMT-0700 (PDT)
2006,BMW,3 Series,325i,Sedan,automatic,wbavb13506kx62364,ca,1.0,1.0,black,black,wells fargo dealer services,10450.0,2000.0,Tue Feb 03 2015 05:00:00 GMT-0800 (PST)
2013,Kia,Forte,Koup EX,Koup,automatic,knafu6a29d5742873,mo,42.0,10357.0,blue,black,legends toyota legends scion,11550.0,11600.0,Wed Feb 25 2015 02:30:00 GMT-0800 (PST)
2011,Ford,F-150,Lariat,SuperCab,,1ftfx1ef6bkd24084,fl,36.0,74530.0,beige,tan,remarketing by ge/manheim pensacola,21600.0,21500.0,Tue Jan 06 2015 10:45:00 GMT-0800 (PST)
2014,Toyota,Tundra,SR5,Double Cab,automatic,5tfry5f19ex167274,tx,43.0,12939.0,white,gray,coastal bend rent a car inc,28100.0,27500.0,Thu May 28 2015 03:30:00 GMT-0700 (PDT)
2007,GMC,Yukon,SLE,SUV,automatic,1gkfc13017r108172,tx,33.0,111838.0,black,beige,enterprise veh exchange/rental,13750.0,12300.0,Thu Jun 18 2015 03:30:00 GMT-0700 (PDT)
2013,Infiniti,JX,JX35,SUV,automatic,5n1al0mn0dc331887,fl,39.0,37492.0,white,black,avis corporation,29400.0,30500.0,Tue Mar 10 2015 02:30:00 GMT-0700 (PDT)
2011,Ford,F-150,XLT,SuperCab,automatic,1ftex1cm1bkd77918,pr,42.0,93065.0,black,black,phh management services,14100.0,13900.0,Thu Feb 19 2015 03:00:00 GMT-0800 (PST)
2007,Saturn,Aura,XR,Sedan,automatic,1g8zv57757f159347,nv,36.0,93725.0,silver,black,cag acceptance,4875.0,5700.0,Thu Jan 22 2015 04:00:00 GMT-0800 (PST)
2014,Jeep,Cherokee,Trailhawk,SUV,automatic,1c4pjmbb8ew171116,fl,49.0,17113.0,black,black,margate volvo,25700.0,27000.0,Fri Feb 27 2015 01:35:00 GMT-0800 (PST)
2013,Ford,Fusion,SE,Sedan,,3fa6p0h77dr206113,nj,35.0,17253.0,white,black,ford motor credit company llc,14750.0,14100.0,Wed Feb 25 2015 01:00:00 GMT-0800 (PST)
2012,Nissan,Altima,2.5 S,Sedan,automatic,1n4al2ap1cc236099,fl,19.0,58595.0,gray,black,jpmorgan chase bank n.a.,10700.0,7600.0,Tue Feb 10 2015 01:30:00 GMT-0800 (PST)
2007,Volvo,XC90,3.2,SUV,automatic,yv4cz982571335253,md,29.0,219877.0,—,gray,annapolis volvo subaru,3850.0,3400.0,Tue Feb 10 2015 01:30:00 GMT-0800 (PST)
2013,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,jn1cv6ap2dm725419,ca,44.0,19510.0,gray,black,nissan infiniti lt,21400.0,21750.0,Thu May 21 2015 05:30:00 GMT-0700 (PDT)
2014,Mercedes-Benz,E-Class,E350 Sport 4MATIC,sedan,,wddhf8jb6ea990305,pa,43.0,15009.0,,,mercedes-benz financial services,42100.0,42500.0,Thu Jun 11 2015 02:00:00 GMT-0700 (PDT)
2012,Infiniti,G Sedan,G37x,g sedan,automatic,jn1cv6ar9cm672668,tn,34.0,43271.0,white,beige,nissan infiniti lt,18050.0,17600.0,Wed Jun 17 2015 03:30:00 GMT-0700 (PDT)
2013,Ram,1500,SLT,crew cab,automatic,1c6rr7lt5ds654019,tx,43.0,127230.0,silver,gray,texas direct auto,19650.0,17000.0,Wed Jun 17 2015 03:20:00 GMT-0700 (PDT)
2013,Hyundai,Elantra,GLS,sedan,automatic,5npdh4ae9dh328960,fl,41.0,11848.0,black,gray,hyundai motor finance,11900.0,12600.0,Tue Jun 02 2015 02:30:00 GMT-0700 (PDT)
2012,Hyundai,Elantra,GLS,Sedan,,5npdh4ae4ch123299,pa,44.0,19667.0,white,beige,hyundai motor finance,11100.0,11200.0,Fri Jan 30 2015 01:00:00 GMT-0800 (PST)
2002,Chevrolet,Monte Carlo,SS,Coupe,automatic,2g1wx15kx29294661,fl,19.0,150841.0,black,black,autonation chevrolet delray,1675.0,2000.0,Tue Feb 17 2015 10:00:00 GMT-0800 (PST)
2014,Ford,Fusion,SE,Sedan,automatic,3fa6p0h79er138267,tx,5.0,42507.0,red,black,avis corporation,14050.0,14000.0,Wed Feb 11 2015 02:00:00 GMT-0800 (PST)
2007,Kia,Sorento,LX,suv,automatic,kndjd736975751807,fl,2.0,75214.0,blue,beige,wells fargo dealer services,5075.0,5200.0,Tue Jun 02 2015 02:15:00 GMT-0700 (PDT)
2013,Ford,Fusion,SE,Sedan,automatic,3fa6p0hr5dr268739,mo,39.0,72755.0,black,tan,lease plan usa,11500.0,10900.0,Wed Jan 28 2015 02:30:00 GMT-0800 (PST)
2007,Chevrolet,Equinox,LT,SUV,automatic,2cndl73f276103189,ca,36.0,132559.0,silver,gray,buyers auto sales,4550.0,5500.0,Wed Feb 25 2015 04:30:00 GMT-0800 (PST)
2003,Ford,Taurus,SES,Sedan,automatic,1fafp552x3a198376,ma,28.0,138979.0,white,gray,imperial chevrolet,1300.0,1650.0,Tue Mar 03 2015 02:00:00 GMT-0800 (PST)
2014,Infiniti,QX60,Base,suv,automatic,5n1al0mn3ec534130,ca,44.0,6429.0,white,black,nissan infiniti lt,32300.0,37500.0,Thu Jun 18 2015 05:30:00 GMT-0700 (PDT)
2006,Saturn,VUE,Base,SUV,automatic,5gzcz53486s865938,tx,29.0,87568.0,silver,gray,credit acceptance corp/vrs/southfield,4725.0,2100.0,Wed Apr 22 2015 03:00:00 GMT-0700 (PDT)
2007,Chevrolet,Impala,LT,Sedan,automatic,2g1wt58n079283250,oh,23.0,112367.0,red,black,dt credit corporation,4575.0,5500.0,Wed Dec 31 2014 09:00:00 GMT-0800 (PST)
2009,Toyota,Prius,Touring,hatchback,automatic,jtdkb20u693470949,ma,27.0,125931.0,gray,gray,boch toyota/scion south,6425.0,5800.0,Tue Jun 16 2015 02:30:00 GMT-0700 (PDT)
2012,BMW,3 Series,328i,Sedan,,wba3c1c59cf433297,ga,41.0,23925.0,black,black,financial services remarketing (lease),22900.0,23200.0,Wed May 27 2015 03:00:00 GMT-0700 (PDT)
2014,Dodge,Journey,SE,SUV,automatic,3c4pdcab1et202473,tx,28.0,24280.0,blue,tan,chrysler capital,15150.0,15100.0,Wed Mar 04 2015 02:30:00 GMT-0800 (PST)
2014,Kia,Sorento,LX,suv,automatic,5xykt3a66eg448586,tx,44.0,16541.0,gray,beige,hacienda ford,17200.0,17000.0,Wed Jun 17 2015 03:20:00 GMT-0700 (PDT)
2014,Volkswagen,Jetta,SE PZEV,Sedan,automatic,3vwd17aj1em409463,fl,22.0,23222.0,silver,black,florida auto financial group,12700.0,11200.0,Tue Feb 10 2015 01:30:00 GMT-0800 (PST)
2014,Honda,Pilot,Touring w/Navigation and Rear Entertainment,SUV,automatic,5fnyf4h98eb023093,nv,42.0,11664.0,black,beige,american honda motor company,32900.0,33400.0,Fri Jan 16 2015 04:00:00 GMT-0800 (PST)
2013,Toyota,Prius,Two,Hatchback,automatic,jtdkn3du9d5577465,fl,35.0,24389.0,white,black,world omni financial corporation,18000.0,16850.0,Tue Jun 09 2015 02:30:00 GMT-0700 (PDT)
1999,,,,,automatic,1gndm19wxxb104763,la,1.0,134258.0,white,gray,fleet street remarketing llc,1425.0,400.0,Wed Apr 01 2015 04:00:00 GMT-0700 (PDT)
2010,Chevrolet,Silverado 1500,LT,Crew Cab,automatic,3gcrcsea5ag272262,tx,26.0,84668.0,black,black,bank of america,15800.0,13000.0,Tue Dec 23 2014 10:10:00 GMT-0800 (PST)
2009,Saturn,VUE,XE,SUV,automatic,3gscl33p59s579169,fl,28.0,92360.0,blue,gray,regional acceptance corporation / greenville,6400.0,4900.0,Thu Feb 19 2015 01:30:00 GMT-0800 (PST)
2001,Nissan,Sentra,GXE,Sedan,automatic,3n1cb51d61l469154,fl,19.0,178950.0,white,beige,autonation toyota pinellas park,700.0,1100.0,Tue May 26 2015 10:30:00 GMT-0700 (PDT)
2013,Hyundai,Elantra Coupe,GS,Elantra Coupe,automatic,kmhdh6aexdu016840,fl,43.0,9948.0,silver,—,hyundai motor finance,12850.0,13500.0,Tue Mar 03 2015 01:30:00 GMT-0800 (PST)
2002,Chevrolet,Silverado 1500,Base,Regular Cab,automatic,1gcec14w82z243992,mo,19.0,139085.0,gold,black,first community credit union,3275.0,2900.0,Tue May 26 2015 04:00:00 GMT-0700 (PDT)
2012,Nissan,Altima,2.5 S,Sedan,automatic,1n4al2ap1cn559931,nj,35.0,20460.0,white,black,nissan-infiniti lt,12850.0,12100.0,Wed Jan 14 2015 01:30:00 GMT-0800 (PST)
2012,Jeep,Grand Cherokee,Overland,SUV,automatic,1c4rjfct2cc213807,tx,47.0,38375.0,silver,brown,music city autoplex llc,28300.0,31500.0,Wed Jan 28 2015 02:20:00 GMT-0800 (PST)
2006,GMC,Sierra 1500,Work Truck,Regular Cab,automatic,3gtec14x96g261772,nj,33.0,82986.0,white,black,south bay remarketing services,5300.0,4900.0,Wed Jan 14 2015 01:30:00 GMT-0800 (PST)
2014,Dodge,Charger,SE,Sedan,automatic,2c3cdxbg3eh145710,il,49.0,2137.0,red,tan,tyson motor corporation,17650.0,17500.0,Thu Jan 08 2015 10:00:00 GMT-0800 (PST)
2013,Dodge,Grand Caravan,SXT,Minivan,automatic,2c4rdgcg8dr808962,in,43.0,22884.0,red,black,chrysler capital,14550.0,15900.0,Thu Feb 19 2015 02:10:00 GMT-0800 (PST)
2012,Kia,Sorento,SX,SUV,automatic,5xykw4a22cg246576,ca,35.0,26772.0,gray,black,kia motors finance,20500.0,21500.0,Tue Jan 13 2015 12:30:00 GMT-0800 (PST)
2012,Toyota,Camry,LE,sedan,automatic,4t4bf1fk4cr230080,ca,21.0,36232.0,gray,gray,toyota financial services,12400.0,11800.0,Wed Jun 03 2015 06:00:00 GMT-0700 (PDT)
2012,Toyota,Camry,XLE,Sedan,automatic,4t1bf1fk7cu541898,fl,4.0,23096.0,gray,gray,world omni financial corporation,16650.0,16800.0,Tue Feb 17 2015 01:30:00 GMT-0800 (PST)
2012,Ford,Fusion,SE,Sedan,automatic,3fahp0hg2cr333519,va,42.0,131092.0,silver,black,fleet depot,7300.0,5000.0,Thu Feb 19 2015 01:20:00 GMT-0800 (PST)
2007,Honda,Accord,Special Edition,Sedan,automatic,1hgcm563x7a162160,oh,37.0,112905.0,black,tan,remarketing by ge/cardinal community cu  inc.,6275.0,5500.0,Tue Feb 17 2015 01:30:00 GMT-0800 (PST)
2012,Nissan,Altima,2.5 S,Sedan,automatic,1n4al2ap9cc190683,fl,44.0,19670.0,white,gray,nissan-infiniti lt,13300.0,14000.0,Wed Mar 04 2015 01:00:00 GMT-0800 (PST)
2011,Nissan,Rogue,S,SUV,automatic,jn8as5mv1bw686250,co,28.0,44613.0,black,black,nissan-infiniti lt,12200.0,13800.0,Tue Feb 10 2015 04:00:00 GMT-0800 (PST)
2010,chrysler,town,& country lx,,automatic,2a4rr4de8ar268063,or,19.0,104421.0,white,gray,lease plan usa,7000.0,5300.0,Tue Dec 23 2014 12:00:00 GMT-0800 (PST)
2014,Dodge,Grand Caravan,R/T,Minivan,,2c4rdgeg1er431177,va,5.0,15801.0,blue,black,enterprise veh exchange/rental,19450.0,18800.0,Wed Jan 28 2015 16:00:00 GMT-0800 (PST)
2012,Chrysler,300,C,Sedan,automatic,2c3ccaet3ch264816,oh,43.0,59636.0,silver,black,pauley motor car co preowned vehicles llc,17150.0,17600.0,Mon Jan 05 2015 16:00:00 GMT-0800 (PST)
2012,Ford,Fusion,SEL,Sedan,automatic,3fahp0jg3cr155100,il,49.0,26038.0,blue,black,ford motor credit company llc,14350.0,14300.0,Tue Jan 13 2015 11:00:00 GMT-0800 (PST)
2013,Ford,Focus,SE,sedan,,1fadp3f24dl261276,pa,46.0,29053.0,black,black,ars/ford-lincoln dealer program,10450.0,11000.0,Fri Jun 05 2015 02:00:00 GMT-0700 (PDT)
2013,Infiniti,G Coupe,G37 Sport,G Coupe,automatic,jn1cv6ek2dm920810,fl,46.0,18366.0,white,black,nissan infiniti lt,23900.0,23800.0,Tue Feb 24 2015 01:30:00 GMT-0800 (PST)
1997,Jaguar,XJ-Series,XJ6L,sedan,automatic,sajhx6242vc790880,ga,19.0,205530.0,green,tan,asbury automotive group,1000.0,1100.0,Tue Jun 02 2015 06:00:00 GMT-0700 (PDT)
2004,Jeep,Grand Cherokee,Laredo,suv,automatic,1j4gw48s74c339329,wi,28.0,171827.0,silver,black,libertyville chevrolet inc,1975.0,1400.0,Wed Jun 17 2015 03:00:00 GMT-0700 (PDT)
2005,Mercedes-Benz,E-Class,E320 CDI,Sedan,automatic,wdbuf26j85a777411,nc,35.0,110298.0,white,beige,hendrick lexus northlake,9275.0,10400.0,Wed Jan 14 2015 06:30:00 GMT-0800 (PST)
2013,Dodge,Avenger,SXT,Sedan,automatic,1c3cdzcb1dn617715,nc,39.0,47491.0,red,gray,chrysler capital,10550.0,11600.0,Mon Mar 02 2015 01:30:00 GMT-0800 (PST)
2012,Hyundai,Elantra,Limited,Sedan,automatic,5npdh4ae4ch112738,oh,49.0,28382.0,silver,gray,hyundai motor finance,12600.0,12900.0,Tue Dec 30 2014 09:30:00 GMT-0800 (PST)
2014,Nissan,Pathfinder,SV,SUV,automatic,5n1ar2mn8ec673910,ga,41.0,20538.0,gray,black,enterprise veh exchange/rental,22600.0,22300.0,Tue Feb 17 2015 01:30:00 GMT-0800 (PST)
2009,Chevrolet,Cobalt,LS,Coupe,manual,1g1ak18hx97288248,il,,139029.0,silver,—,bettenhausen motor sales inc,1950.0,1950.0,Thu Dec 18 2014 10:00:00 GMT-0800 (PST)
2012,Chevrolet,Impala,LS,Sedan,automatic,2g1wa5e32c1206235,wi,1.0,94474.0,blue,gray,enterprise fleet management exchange  inc.,7500.0,7800.0,Wed Jan 07 2015 02:00:00 GMT-0800 (PST)
2012,Nissan,Versa,1.6 S,Sedan,,3n1cn7ap7cl908104,fl,36.0,52962.0,gray,gray,santander consumer,7825.0,8900.0,Wed Feb 25 2015 01:05:00 GMT-0800 (PST)
2011,Kia,Soul,!,Wagon,manual,kndjt2a22b7733927,il,37.0,34249.0,black,black,capital honda,10600.0,8000.0,Thu Feb 12 2015 02:00:00 GMT-0800 (PST)
2007,,,,,automatic,jm1bk343x71713338,md,41.0,79222.0,blue,black,exeter finance corp,5350.0,6700.0,Tue Jan 20 2015 01:30:00 GMT-0800 (PST)
